Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,null,null,null,null,null,null
2019-01-01,26000.000000,26000.000000,26000.000000,26000.000000,25764.476563,0
2019-01-02,26000.000000,26225.000000,26000.000000,26200.000000,25962.664063,7191200
2019-01-03,26000.000000,26100.000000,25575.000000,25900.000000,25665.382813,14471600
2019-01-04,25875.000000,26025.000000,25625.000000,26025.000000,25789.250000,10293000
2019-01-07,26325.000000,26625.000000,26225.000000,26225.000000,25987.437500,14687600
2019-01-08,26150.000000,26600.000000,26025.000000,26200.000000,25962.664063,13249500
2019-01-09,26500.000000,26600.000000,26125.000000,26275.000000,26036.986328,16974200
2019-01-10,26500.000000,26500.000000,25950.000000,26275.000000,26036.986328,22862900
2019-01-11,26400.000000,26500.000000,26175.000000,26250.000000,26012.210938,16965300
2019-01-14,26100.000000,26175.000000,25750.000000,26000.000000,25764.476563,17509500
2019-01-15,26150.000000,26300.000000,25950.000000,26300.000000,26061.759766,17552600
2019-01-16,26300.000000,26425.000000,26225.000000,26425.000000,26185.626953,18994500
2019-01-17,26450.000000,26650.000000,26425.000000,26650.000000,26408.587891,18330800
2019-01-18,26700.000000,27125.000000,26575.000000,27125.000000,26879.285156,20174700
2019-01-21,27125.000000,28000.000000,26950.000000,27725.000000,27473.849609,17423600
2019-01-22,28000.000000,28100.000000,27250.000000,28000.000000,27746.359375,18381400
2019-01-23,28000.000000,28000.000000,27375.000000,27500.000000,27250.888672,19702500
2019-01-24,27150.000000,27425.000000,26775.000000,27300.000000,27052.701172,21356200
2019-01-25,27000.000000,27600.000000,27000.000000,27500.000000,27250.888672,13788800
2019-01-28,27575.000000,27575.000000,27375.000000,27475.000000,27226.115234,13940800
2019-01-29,27225.000000,27750.000000,27200.000000,27700.000000,27449.076172,15535800
2019-01-30,27800.000000,27800.000000,27475.000000,27600.000000,27349.982422,15257000
2019-01-31,27600.000000,28200.000000,27600.000000,28175.000000,27919.773438,27180900
2019-02-01,28400.000000,28750.000000,27800.000000,28175.000000,27919.773438,11543900
2019-02-04,28175.000000,28175.000000,27500.000000,27500.000000,27250.888672,22769300
2019-02-05,27500.000000,27500.000000,27500.000000,27500.000000,27250.888672,0
2019-02-06,27500.000000,27700.000000,27475.000000,27675.000000,27424.302734,24399300
2019-02-07,27675.000000,27675.000000,27525.000000,27650.000000,27399.529297,12739500
2019-02-08,27650.000000,27675.000000,27500.000000,27600.000000,27349.982422,13053700
2019-02-11,27600.000000,27650.000000,27300.000000,27475.000000,27226.115234,7527800
2019-02-12,27650.000000,27650.000000,27250.000000,27300.000000,27052.701172,19176700
2019-02-13,27300.000000,27450.000000,27050.000000,27100.000000,26854.511719,20623100
2019-02-14,27025.000000,27025.000000,26900.000000,26900.000000,26656.324219,21747700
2019-02-15,26800.000000,27050.000000,26675.000000,26800.000000,26557.230469,16268000
2019-02-18,27050.000000,27500.000000,27050.000000,27400.000000,27151.794922,12598200
2019-02-19,27100.000000,27400.000000,26900.000000,26900.000000,26656.324219,12893800
2019-02-20,27250.000000,27975.000000,27200.000000,27500.000000,27250.888672,17916600
2019-02-21,27700.000000,27800.000000,27350.000000,27525.000000,27275.662109,10912300
2019-02-22,27375.000000,27625.000000,27300.000000,27450.000000,27201.341797,9654300
2019-02-25,27450.000000,27500.000000,27275.000000,27450.000000,27201.341797,9577400
